Exporter,Importer,Year,Value
Afghanistan,Andorra,2020,1.25
Afghanistan,Angola,2020,1.485
Afghanistan,Azerbaijan,2020,27.86
Afghanistan,Argentina,2020,0.222
Afghanistan,Australia,2020,1016.995
Afghanistan,Austria,2020,1727.746
Afghanistan,Bahamas,2020,0.09
Afghanistan,Bahrain,2020,875.466
Afghanistan,Armenia,2020,0.27
Afghanistan,Barbados,2020,0.592
Afghanistan,Belgium,2020,167.444
Afghanistan,Bolivia (Plurinational State of),2020,3.583
Afghanistan,Bosnia Herzegovina,2020,0.481
Afghanistan,Botswana,2020,4.528
Afghanistan,Brazil,2020,238.564
Afghanistan,Brunei Darussalam,2020,31.076
Afghanistan,Bulgaria,2020,3.413
Afghanistan,Myanmar,2020,918.123
Afghanistan,Belarus,2020,243.414
Afghanistan,Cambodia,2020,0.921
Afghanistan,Cameroon,2020,56.17100000000001
Afghanistan,Canada,2020,3765.223
Afghanistan,Cayman Isds,2020,0.557
Afghanistan,Sri Lanka,2020,24.85
Afghanistan,Chile,2020,21.635
Afghanistan,China,2020,54246.999
Afghanistan,Colombia,2020,1.229
Afghanistan,Comoros,2020,0.102
Afghanistan,Congo,2020,0.219
Afghanistan,Dem. Rep. of the Congo,2020,0.419
Afghanistan,Costa Rica,2020,5.538
Afghanistan,Croatia,2020,1.509
Afghanistan,Cyprus,2020,3.109
Afghanistan,Czechia,2020,81.56
Afghanistan,Denmark,2020,76.532
Afghanistan,Dominican Rep.,2020,62.94500000000001
Afghanistan,Ecuador,2020,386.614
Afghanistan,El Salvador,2020,4.21
Afghanistan,Ethiopia,2020,6.3740000000000006
Afghanistan,Estonia,2020,5.506
Afghanistan,Finland,2020,766.466
Afghanistan,France,2020,1261.41
Afghanistan,French Polynesia,2020,0.219
Afghanistan,Georgia,2020,644.645
Afghanistan,Germany,2020,11224.017
Afghanistan,Greece,2020,8.444
Afghanistan,Grenada,2020,2.239
Afghanistan,Guatemala,2020,104.829
Afghanistan,Honduras,2020,0.222
Afghanistan,"China, Hong Kong SAR",2020,85.387
Afghanistan,Hungary,2020,66.846
Afghanistan,Iceland,2020,3.586
Afghanistan,Indonesia,2020,486.122
Afghanistan,Iran,2020,3997.962
Afghanistan,Ireland,2020,199.751
Afghanistan,Israel,2020,62.935
Afghanistan,Italy,2020,6815.099
Afghanistan,Côte d'Ivoire,2020,15.28
Afghanistan,Jamaica,2020,65.863
Afghanistan,Japan,2020,194.357
Afghanistan,Kazakhstan,2020,1773.513
Afghanistan,Jordan,2020,18174.552
Afghanistan,Kenya,2020,43.761
Afghanistan,Rep. of Korea,2020,908.022
Afghanistan,Kuwait,2020,1167.659
Afghanistan,Kyrgyzstan,2020,199.663
Afghanistan,Lao People's Dem. Rep.,2020,1.244
Afghanistan,Lebanon,2020,459.811
Afghanistan,Latvia,2020,134.725
Afghanistan,Lithuania,2020,332.935
Afghanistan,Luxembourg,2020,78.565
Afghanistan,Malawi,2020,0.061
Afghanistan,Malaysia,2020,57.849
Afghanistan,Malta,2020,2.3360000000000003
Afghanistan,Mauritania,2020,1.23
Afghanistan,Mauritius,2020,11.114999999999998
Afghanistan,Mexico,2020,1094.041
Afghanistan,"Other Asia, nes",2020,20.816
Afghanistan,Rep. of Moldova,2020,1.096
Afghanistan,Montenegro,2020,17.719
Afghanistan,Morocco,2020,16.915
Afghanistan,Mozambique,2020,671.369
Afghanistan,Oman,2020,3.506
Afghanistan,Namibia,2020,0.6809999999999999
Afghanistan,Nepal,2020,37.478
Afghanistan,Netherlands,2020,3558.331
Afghanistan,New Zealand,2020,79.681
Afghanistan,Nicaragua,2020,4.458
Afghanistan,Niger,2020,6.515
Afghanistan,Nigeria,2020,205.411
Afghanistan,Norway,2020,392.745
Afghanistan,Pakistan,2020,490358.323
Afghanistan,Peru,2020,165.13899999999998
Afghanistan,Philippines,2020,31.924000000000003
Afghanistan,Poland,2020,1113.417
Afghanistan,Portugal,2020,18.139
Afghanistan,Qatar,2020,275.246
Afghanistan,Romania,2020,438.989
Afghanistan,Russian Federation,2020,3398.431
Afghanistan,Saint Lucia,2020,0.105
Afghanistan,Saudi Arabia,2020,27446.228000000003
Afghanistan,Senegal,2020,434.375
Afghanistan,Serbia,2020,13.578
Afghanistan,Seychelles,2020,26.739
Afghanistan,India,2020,511431.026
Afghanistan,Singapore,2020,232.15
Afghanistan,Slovakia,2020,312.202
Afghanistan,Slovenia,2020,13.238
Afghanistan,South Africa,2020,105.934
Afghanistan,Zimbabwe,2020,11.949
Afghanistan,Spain,2020,2905.594
Afghanistan,Eswatini,2020,0.128
Afghanistan,Sweden,2020,737.1030000000001
Afghanistan,Switzerland,2020,1003.681
Afghanistan,Tajikistan,2020,867.4
Afghanistan,Thailand,2020,167.955
Afghanistan,Togo,2020,20.651
Afghanistan,Trinidad and Tobago,2020,9.847
Afghanistan,United Arab Emirates,2020,572486.2949999999
Afghanistan,Tunisia,2020,430.02
Afghanistan,Türkiye,2020,26362.325
Afghanistan,Ukraine,2020,282.847
Afghanistan,North Macedonia,2020,2.157
Afghanistan,Egypt,2020,647.322
Afghanistan,United Kingdom,2020,3507.796
Afghanistan,United Rep. of Tanzania,2020,0.338
Afghanistan,USA,2020,15233.227
Afghanistan,Burkina Faso,2020,0.148
Afghanistan,Uruguay,2020,5.839
Afghanistan,Uzbekistan,2020,1099.992
Afghanistan,Zambia,2020,73.52700000000002
Albania,Andorra,2020,30.003
Albania,Angola,2020,472.41
Albania,Azerbaijan,2020,385.858
Albania,Argentina,2020,393.287
Albania,Australia,2020,2517.888
Albania,Austria,2020,27060.663
Albania,Bahrain,2020,400.062
Albania,Armenia,2020,1177.176
Albania,Belgium,2020,3125.168
Albania,Bermuda,2020,1.31
Albania,Bolivia (Plurinational State of),2020,23.565
Albania,Bosnia Herzegovina,2020,20442.748
Albania,Botswana,2020,1.865
Albania,Brazil,2020,1111.616
Albania,Brunei Darussalam,2020,0.041
Albania,Bulgaria,2020,43112.967
Albania,Myanmar,2020,20.012
Albania,Burundi,2020,22.295
Albania,Belarus,2020,615.617
Albania,Cambodia,2020,0.896
Albania,Cameroon,2020,1208.173
Albania,Canada,2020,6710.033
Albania,Cabo Verde,2020,60.571
Albania,Cayman Isds,2020,0.265
Albania,Central African Rep.,2020,8.842
Albania,Sri Lanka,2020,192.135
Albania,Chile,2020,1453.224
Albania,China,2020,59885.804
Albania,Colombia,2020,188.584
Albania,Comoros,2020,1.985
Albania,Congo,2020,64.369
Albania,Dem. Rep. of the Congo,2020,0.548
Albania,Costa Rica,2020,559.85
Albania,Croatia,2020,12571.359
Albania,Cyprus,2020,556.351
Albania,Czechia,2020,53086.595
Albania,Benin,2020,5.599
Albania,Denmark,2020,1784.861
Albania,Dominica,2020,0.198
Albania,Dominican Rep.,2020,595.7959999999999
Albania,Ecuador,2020,151.601
Albania,El Salvador,2020,361.418
Albania,Ethiopia,2020,1948.347
Albania,Estonia,2020,12606.937
Albania,Finland,2020,1328.483
Albania,France,2020,35574.947
